Tỉnh/Thành phố,Dân số trung bình,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Sơ bộ 2024
An Giang,Tổng số,1970.10,1990.70,2011.10,2032.50,2055.40,2061.70,2073.80,2085.60,2096.30,2107.40,2118.10,2125.80,2134.30,2142.60,2147.60,2122.44,2097.54,2077.94,2051.62,2024.59,2000.90,1976.40,1954.20,1931.00,1907.40,1904.53,1909.51,1905.52,1906.27,1912.58
An Giang,Nam,966.70,978.10,989.10,1001.10,1011.50,1014.10,1020.10,1025.90,1031.60,1035.90,1039.40,1045.00,1049.20,1059.60,1066.90,1054.36,1041.93,1032.14,1019.02,1005.54,993.70,981.50,970.40,958.90,947.10,945.60,948.15,946.15,946.56,949.75
An Giang,Nữ,1003.40,1012.60,1022.00,1031.40,1043.90,1047.60,1053.70,1059.70,1064.70,1071.50,1078.70,1080.80,1085.10,1083.00,1080.70,1068.08,1055.61,1045.80,1032.60,1019.05,1007.10,994.90,983.80,972.20,960.30,958.93,961.36,959.37,959.71,962.83
An Giang,Thành thị,368.00,370.90,395.10,398.00,405.30,457.50,472.90,488.80,504.90,521.70,538.90,555.80,573.50,591.70,609.70,609.16,608.65,609.60,608.51,607.11,606.60,605.80,605.60,605.00,602.60,601.64,646.02,644.77,705.29,706.49
An Giang,Nông thôn,1602.10,1619.80,1616.00,1634.50,1650.10,1604.20,1600.90,1596.80,1591.40,1585.70,1579.20,1570.00,1560.80,1550.90,1537.90,1513.28,1488.90,1468.34,1443.11,1417.48,1394.20,1370.60,1348.60,1326.00,1304.80,1302.89,1263.48,1260.74,1200.97,1206.09
Bà Rịa - Vũng Tàu,Tổng số,708.90,730.40,752.70,775.60,805.10,829.90,858.00,880.80,899.10,918.90,938.80,955.70,970.20,983.60,998.50,1019.57,1040.80,1057.84,1076.85,1093.37,1104.30,1117.60,1127.20,1138.30,1152.20,1167.94,1176.08,1178.70,1187.50,1194.65
Bà Rịa - Vũng Tàu,Nam,354.80,365.80,376.90,388.10,402.80,415.00,429.10,440.50,449.80,460.60,470.00,479.00,486.00,493.00,499.10,509.78,520.61,529.35,539.09,547.58,553.30,560.20,565.30,571.00,578.20,578.97,583.00,587.83,592.28,595.88
Bà Rịa - Vũng Tàu,Nữ,354.10,364.60,375.80,387.50,402.30,414.90,428.90,440.30,449.30,458.30,468.80,476.70,484.20,490.60,499.40,509.79,520.19,528.49,537.77,545.79,551.00,557.40,562.00,567.30,574.00,588.97,593.08,590.87,595.22,598.77
Bà Rịa - Vũng Tàu,Thành thị,246.50,271.90,284.90,295.10,337.80,353.00,371.00,388.00,403.00,419.00,435.70,451.30,466.30,481.00,497.80,516.61,535.99,553.68,572.85,591.15,606.80,624.20,639.80,656.70,675.60,672.31,686.87,711.89,723.37,741.81
Bà Rịa - Vũng Tàu,Nông thôn,462.40,458.50,467.80,480.50,467.30,476.90,487.00,492.80,496.10,499.90,503.10,504.40,503.90,502.60,500.70,502.96,504.81,504.17,504.01,502.23,497.50,493.40,487.40,481.60,476.60,495.63,489.21,466.81,464.13,452.84
