Tỉnh/Thành phố,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Sơ bộ 2024
An Giang,0.51,0.40,0.39,0.24,0.03,0.03,0.10,0.10,0.11,-1.17,-1.22,-1.12,-1.18,-1.22,-0.15,0.26,-0.21,0.04,0.33
Bà Rịa - Vũng Tàu,2.16,1.51,1.39,1.52,1.28,1.10,1.03,1.31,1.24,1.00,1.21,0.86,0.98,1.22,1.36,0.70,0.22,0.75,0.60
Bình Dương,6.97,8.58,7.32,7.83,5.18,4.30,4.33,4.13,3.94,4.62,3.36,4.13,5.30,4.74,5.06,0.63,6.41,2.18,1.67
Bình Phước,2.86,2.35,2.35,1.98,1.24,1.29,1.29,1.30,1.29,1.37,1.63,1.03,1.26,1.31,1.33,1.31,1.01,1.05,1.61
Bình Thuận,0.99,0.86,0.88,0.64,0.63,0.66,0.60,0.66,0.66,0.68,0.67,0.57,0.56,0.41,0.57,0.57,0.46,0.54,0.59
Bình Định,0.16,0.15,0.23,0.12,0.31,0.42,0.28,0.46,0.34,0.00,0.00,0.00,0.00,0.00,0.01,1.37,-0.27,0.14,0.80
Bạc Liêu,1.44,1.45,1.41,1.10,0.49,0.46,0.50,0.50,0.48,0.58,0.62,0.55,0.58,0.58,0.58,0.55,0.36,0.36,0.38
Bắc Giang,0.45,0.38,0.37,0.15,0.83,0.76,0.70,0.95,1.03,1.22,1.80,2.35,2.34,1.85,1.72,1.83,0.84,1.68,2.07
Bắc Kạn,0.65,0.62,0.63,0.35,0.96,0.99,0.86,0.70,0.69,0.90,0.66,0.72,0.70,0.74,0.66,2.29,0.20,0.66,0.86
Bắc Ninh,0.80,0.95,0.87,0.82,1.73,1.84,2.10,2.06,2.08,3.52,3.23,3.17,3.05,3.08,2.94,3.09,1.73,1.96,1.92
Bắc Trung Bộ và duyên hải miền Trung,0.38,0.33,0.37,0.31,0.63,0.68,0.72,0.75,0.70,0.73,0.76,0.74,0.68,0.67,0.61,1.19,0.37,0.55,0.92
Bến Tre,-0.34,-0.36,-0.41,-0.28,0.04,0.06,0.12,0.13,0.13,0.26,0.22,0.30,0.27,0.24,0.26,0.26,0.18,0.10,0.53
Cao Bằng,0.43,0.35,0.38,0.13,0.37,0.18,0.23,0.53,0.43,0.41,0.43,0.42,0.43,0.42,0.42,1.71,0.15,0.88,1.94
Cà Mau,0.72,0.54,0.55,0.45,0.11,0.13,0.17,0.18,0.18,-0.10,-0.12,-0.10,-0.12,-0.11,-0.03,1.24,-0.09,-0.02,0.38
CẢ NƯỚC,1.17,1.09,1.07,1.06,1.07,1.05,1.08,1.07,1.08,1.12,1.11,1.11,1.17,1.15,1.14,0.94,0.98,0.85,1.03
Cần Thơ,0.95,0.99,0.76,0.65,0.78,0.84,0.85,0.83,0.80,0.23,0.50,0.64,0.44,0.67,0.39,0.50,0.43,0.52,1.02
Gia Lai,2.40,2.08,2.11,2.38,1.61,1.55,1.42,1.39,1.37,1.66,1.45,1.51,1.82,1.64,1.43,1.81,1.35,1.44,1.30
Huế,0.40,0.38,0.36,0.25,0.30,1.12,0.98,0.79,0.80,0.28,0.30,0.48,0.19,0.36,0.37,1.78,0.56,0.54,1.03
Hà Giang,1.90,1.66,1.60,1.24,1.20,1.75,2.01,1.86,1.68,1.80,1.70,1.62,1.54,1.37,1.42,1.94,0.64,0.80,1.27
Hà Nam,-0.07,-0.21,-0.18,-0.10,0.02,0.07,0.68,0.48,0.43,1.13,0.96,0.91,0.88,0.87,0.86,1.55,0.32,0.90,0.94
Hà Nội,2.02,1.37,..,1.41,2.50,1.93,1.54,1.63,1.70,2.03,2.11,1.99,2.23,2.27,1.89,1.02,1.26,1.80,1.52
Hà Tây,2.03,1.14,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Hà Tĩnh,-0.35,-0.37,-0.40,-0.50,0.40,0.42,0.44,0.48,0.49,0.48,0.43,0.59,0.49,0.76,0.49,1.34,0.74,0.49,0.46
Hòa Bình,2.01,1.65,..,1.08,0.67,0.93,0.77,0.64,0.86,1.09,1.01,0.95,0.65,0.63,0.63,1.22,0.42,0.58,1.59
Hưng Yên,0.60,0.43,0.44,0.21,0.33,0.54,0.50,0.66,0.56,1.12,1.12,1.10,1.10,1.08,1.06,1.22,0.49,0.79,1.31
Hải Dương,0.30,0.30,0.36,0.35,0.56,0.78,0.69,0.58,0.65,0.95,1.11,0.97,1.46,1.02,1.05,1.04,0.52,0.52,1.09
Hải Phòng,0.89,0.98,0.98,0.89,0.94,1.19,1.29,1.11,1.08,0.96,0.80,0.81,0.75,0.83,1.00,0.92,0.75,0.81,0.93
Hậu Giang,0.21,0.25,0.22,0.22,0.24,0.25,0.28,0.31,0.28,-0.35,-0.31,-0.38,-0.32,-0.37,-0.33,0.01,-0.06,-0.16,0.24
Khánh Hòa,0.99,1.09,1.04,0.77,0.53,0.61,0.75,0.70,0.71,0.52,0.74,0.76,0.67,0.68,0.62,0.61,0.47,0.53,0.69
Kiên Giang,1.30,1.04,1.05,0.96,0.60,0.72,0.76,0.61,0.64,0.12,0.19,0.24,0.31,0.32,0.30,1.36,-0.03,0.20,0.64
Kon Tum,3.27,2.91,3.03,2.69,2.39,2.15,2.46,2.28,2.32,2.41,2.41,2.41,2.37,2.08,2.24,2.36,1.96,1.96,1.78
Lai Châu,1.53,1.02,0.97,0.94,2.54,2.27,2.03,2.10,2.38,1.53,1.97,1.88,2.00,2.04,1.55,1.83,0.77,1.49,1.27
Long An,0.81,0.91,0.73,0.56,0.46,0.49,0.72,0.65,0.51,0.90,1.17,1.04,1.00,0.97,1.09,0.71,0.49,0.53,0.74
Lào Cai,1.29,1.37,1.38,1.53,1.78,1.63,1.50,1.45,1.41,1.76,1.75,1.74,1.73,1.74,1.78,2.08,1.14,1.21,1.58
