Tỉnh/Thành phố,Tỷ suất,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Sơ bộ 2024
An Giang,Tỷ suất nhập cư,1.40,1.80,2.10,1.80,3.60,3.90,2.20,3.10,4.30,2.10,1.30,1.30,2.10,1.20,1.83,2.93,1.69,1.21,3.61
An Giang,Tỷ suất xuất cư,3.50,4.60,5.00,11.00,11.90,16.00,11.20,11.30,12.70,11.80,10.40,5.00,11.90,15.60,17.99,25.79,9.94,8.47,13.37
An Giang,Tỷ suất di cư thuần,-2.10,-2.80,-2.90,-9.20,-8.30,-12.20,-9.00,-8.20,-8.40,-9.60,-9.10,-3.70,-9.90,-14.40,-16.16,-22.85,-8.25,-7.26,-9.76
Bà Rịa - Vũng Tàu,Tỷ suất nhập cư,8.70,9.10,5.40,12.50,13.30,16.50,10.50,10.80,15.00,6.00,4.60,2.60,2.40,7.60,7.48,4.85,3.42,5.04,5.76
Bà Rịa - Vũng Tàu,Tỷ suất xuất cư,6.10,8.80,7.60,8.20,8.90,10.80,7.70,6.90,7.80,5.30,3.50,2.20,3.10,5.80,4.28,3.93,4.32,6.53,6.68
Bà Rịa - Vũng Tàu,Tỷ suất di cư thuần,2.60,0.30,-2.30,4.30,4.40,5.70,2.80,4.00,7.20,0.70,1.10,0.40,-0.70,1.80,3.21,0.92,-0.90,-1.49,-0.93
Bình Dương,Tỷ suất nhập cư,27.20,60.70,42.30,73.20,89.60,64.80,59.10,54.50,70.20,52.00,32.30,30.60,53.60,43.40,62.66,35.63,26.36,28.12,27.70
Bình Dương,Tỷ suất xuất cư,9.20,19.60,15.20,5.10,15.00,22.10,10.20,19.90,18.20,10.00,8.80,6.70,5.70,3.40,4.06,4.87,4.21,5.10,7.00
Bình Dương,Tỷ suất di cư thuần,18.00,41.10,27.10,68.10,74.60,42.70,48.90,34.50,52.00,42.00,23.50,23.90,47.90,40.10,58.60,30.75,22.16,23.02,20.71
Bình Phước,Tỷ suất nhập cư,4.60,6.80,5.50,9.20,10.30,10.90,6.70,7.10,8.00,3.10,7.30,2.10,2.20,5.00,4.28,1.95,3.62,5.89,7.29
Bình Phước,Tỷ suất xuất cư,6.60,12.10,9.10,9.30,17.20,11.70,8.90,9.20,12.00,3.60,4.30,4.70,3.00,6.70,6.30,4.17,2.37,3.59,7.93
Bình Phước,Tỷ suất di cư thuần,-2.00,-5.30,-3.60,-0.10,-6.90,-0.80,-2.20,-2.10,-4.00,-0.50,3.00,-2.70,-0.70,-1.70,-2.01,-2.22,1.25,2.30,-0.65
Bình Thuận,Tỷ suất nhập cư,3.10,0.80,1.90,3.00,4.20,2.10,2.30,5.30,2.40,1.00,1.30,1.10,1.40,1.40,1.00,0.56,0.49,0.51,1.05
Bình Thuận,Tỷ suất xuất cư,4.20,9.00,5.30,7.60,9.60,8.50,6.10,8.50,6.90,3.10,1.50,2.50,3.00,5.60,10.34,5.91,4.17,6.57,7.81
Bình Thuận,Tỷ suất di cư thuần,-1.10,-8.30,-3.40,-4.60,-5.40,-6.40,-3.80,-3.20,-4.50,-2.10,-0.10,-1.50,-1.60,-4.10,-9.34,-5.35,-3.68,-6.05,-6.76
Bình Định,Tỷ suất nhập cư,1.60,4.20,2.50,2.70,6.00,6.60,2.80,3.70,4.40,2.30,1.50,2.00,0.60,1.40,0.82,2.33,1.62,1.29,2.74
Bình Định,Tỷ suất xuất cư,5.70,7.50,4.30,10.80,9.90,10.00,9.80,7.50,8.20,3.30,4.20,2.50,2.30,8.30,10.51,7.04,7.79,5.75,7.47
Bình Định,Tỷ suất di cư thuần,-4.10,-3.30,-1.80,-8.00,-3.90,-3.40,-7.00,-3.80,-3.90,-1.10,-2.70,-0.50,-1.70,-6.90,-9.69,-4.70,-6.17,-4.46,-4.73
Bạc Liêu,Tỷ suất nhập cư,1.80,1.60,1.40,1.50,2.60,3.00,2.40,2.50,2.50,1.30,0.70,0.40,0.20,1.40,3.26,0.31,0.52,4.39,3.23
Bạc Liêu,Tỷ suất xuất cư,2.60,6.60,3.10,10.80,13.20,9.60,10.70,16.40,16.60,7.60,7.50,4.40,6.90,11.80,16.61,17.91,6.66,10.82,9.83
Bạc Liêu,Tỷ suất di cư thuần,-0.80,-5.00,-1.70,-9.30,-10.60,-6.60,-8.30,-13.90,-14.10,-6.30,-6.90,-4.00,-6.70,-10.40,-13.34,-17.61,-6.14,-6.44,-6.61
Bắc Giang,Tỷ suất nhập cư,2.40,3.40,3.30,1.60,3.00,5.50,3.20,4.60,4.80,3.10,1.80,1.30,1.60,2.50,3.50,4.16,1.28,2.00,6.35
Bắc Giang,Tỷ suất xuất cư,4.90,6.40,4.30,10.30,10.00,10.40,6.80,9.20,5.80,4.20,7.00,2.50,2.80,5.50,4.47,3.53,4.20,3.56,6.02
Bắc Giang,Tỷ suất di cư thuần,-2.50,-2.90,-1.00,-8.70,-7.00,-4.90,-3.60,-4.50,-0.90,-1.10,-5.20,-1.20,-1.20,-3.10,-0.97,0.63,-2.91,-1.57,0.33
Bắc Kạn,Tỷ suất nhập cư,4.30,5.00,2.60,4.70,4.60,4.80,3.10,4.70,4.00,2.20,1.00,1.60,1.20,1.60,0.95,1.42,1.51,0.83,3.85
Bắc Kạn,Tỷ suất xuất cư,5.00,4.20,3.80,7.10,6.30,6.70,4.60,11.70,10.10,2.50,4.40,4.10,3.00,9.60,4.99,13.43,4.40,10.15,9.76
Bắc Kạn,Tỷ suất di cư thuần,-0.70,0.70,-1.20,-2.40,-1.70,-1.80,-1.50,-6.90,-6.00,-0.30,-3.40,-2.50,-1.80,-8.00,-4.04,-12.01,-2.89,-9.33,-5.91
Bắc Ninh,Tỷ suất nhập cư,5.30,12.40,6.20,6.40,9.80,13.40,12.70,19.40,15.40,16.00,11.00,9.70,11.10,21.40,40.92,45.66,39.35,39.93,24.26
Bắc Ninh,Tỷ suất xuất cư,7.70,7.30,8.30,8.90,7.60,6.50,5.50,6.10,5.40,3.20,3.60,4.20,2.00,4.30,5.09,3.93,2.98,3.47,6.13
Bắc Ninh,Tỷ suất di cư thuần,-2.50,5.10,-2.10,-2.50,2.20,7.00,7.20,13.40,10.10,12.80,7.50,5.50,9.10,17.10,35.83,41.73,36.37,36.45,18.13
Bến Tre,Tỷ suất nhập cư,2.00,3.40,3.40,2.30,2.20,5.80,2.50,5.30,7.40,3.70,2.30,2.50,2.60,2.50,3.24,3.04,3.68,3.27,4.25
Bến Tre,Tỷ suất xuất cư,6.60,10.10,7.30,15.70,15.10,15.50,10.80,9.20,13.90,7.40,6.30,4.00,6.80,9.60,13.52,8.39,4.66,5.20,7.66
Bến Tre,Tỷ suất di cư thuần,-4.60,-6.70,-3.90,-13.40,-12.90,-9.80,-8.30,-3.90,-6.50,-3.70,-3.90,-1.50,-4.30,-7.10,-10.27,-5.35,-0.97,-1.94,-3.41
Cao Bằng,Tỷ suất nhập cư,4.20,5.90,5.20,3.70,4.70,4.60,4.40,8.10,3.30,4.00,3.30,1.70,1.90,1.80,2.19,2.50,2.74,2.12,3.84
Cao Bằng,Tỷ suất xuất cư,4.00,7.00,1.50,6.50,9.60,10.10,15.60,8.60,8.20,4.00,4.20,4.80,3.60,7.50,11.52,7.29,7.55,9.72,8.23
Cao Bằng,Tỷ suất di cư thuần,0.20,-1.10,3.60,-2.80,-4.90,-5.50,-11.20,-0.40,-5.00,-0.10,-0.80,-3.20,-1.60,-5.70,-9.33,-4.79,-4.81,-7.60,-4.38
Cà Mau,Tỷ suất nhập cư,1.80,0.60,1.20,1.40,2.50,4.20,2.40,2.90,2.80,0.50,0.90,0.10,1.10,1.30,0.68,0.82,0.57,0.44,1.38
Cà Mau,Tỷ suất xuất cư,2.10,7.20,6.50,12.80,29.70,16.30,8.20,11.40,16.40,7.70,9.10,9.40,7.70,13.80,15.83,20.22,12.89,11.32,12.36
Cà Mau,Tỷ suất di cư thuần,-0.30,-6.60,-5.30,-11.40,-27.20,-12.10,-5.80,-8.50,-13.60,-7.20,-8.20,-9.30,-6.60,-12.50,-15.15,-19.39,-12.32,-10.88,-10.97
Cần Thơ,Tỷ suất nhập cư,5.10,6.40,4.40,10.20,9.80,6.90,8.90,9.60,8.20,3.10,3.60,7.30,4.40,9.00,14.44,12.46,16.17,8.24,15.24
Cần Thơ,Tỷ suất xuất cư,5.50,7.00,7.30,9.50,11.50,11.00,7.10,13.60,11.40,7.70,6.30,2.60,6.30,7.20,16.64,13.36,5.01,3.97,6.69
Cần Thơ,Tỷ suất di cư thuần,-0.50,-0.60,-2.80,0.60,-1.70,-4.10,1.80,-4.00,-3.20,-4.60,-2.70,4.70,-1.80,1.80,-2.20,-0.91,11.16,4.27,8.55
Gia Lai,Tỷ suất nhập cư,2.90,7.10,5.50,7.00,3.70,4.90,4.90,8.00,5.20,1.70,1.70,1.30,0.80,1.90,1.42,0.49,0.54,1.44,2.09
Gia Lai,Tỷ suất xuất cư,3.40,6.00,6.00,4.90,5.90,6.90,5.30,8.10,7.10,2.30,3.50,4.10,2.20,4.30,6.31,5.89,3.99,4.52,5.20
