Địa phương,Phân tổ,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Sơ bộ 2024
An Giang,Tỷ suất sinh thô,18.40,16.90,16.90,17.60,17.30,16.40,17.50,16.30,16.70,12.50,12.50,11.60,11.40,11.90,12.51,12.10,11.70,10.80,10.40
An Giang,Tỷ suất chết thô,5.20,5.10,5.00,8.00,7.90,7.30,7.80,7.80,8.80,7.50,8.80,9.70,8.60,9.70,9.27,8.10,9.03,6.85,10.63
An Giang,Tỷ lệ tăng tự nhiên,13.20,11.80,11.90,9.70,9.30,9.00,9.60,8.50,7.90,4.90,3.70,1.90,2.80,2.30,3.24,3.99,2.67,3.95,-0.23
Bà Rịa - Vũng Tàu,Tỷ suất sinh thô,18.50,16.90,17.10,17.70,15.60,15.20,14.90,16.20,16.50,12.50,12.10,10.50,11.00,14.80,15.75,13.90,15.70,11.50,10.92
Bà Rịa - Vũng Tàu,Tỷ suất chết thô,4.40,4.40,4.10,6.60,6.50,6.30,7.10,7.50,5.10,4.50,4.40,5.60,5.00,5.00,4.77,5.40,4.65,5.35,3.17
Bà Rịa - Vũng Tàu,Tỷ lệ tăng tự nhiên,14.20,12.50,13.00,11.20,9.10,8.90,7.80,8.70,11.50,8.10,7.70,4.90,6.00,9.80,10.99,8.48,11.05,6.15,7.75
Bình Dương,Tỷ suất sinh thô,17.30,19.00,19.50,23.00,20.70,19.70,21.50,22.20,18.50,18.60,18.30,20.20,15.20,17.60,18.47,18.20,16.40,17.56,15.25
Bình Dương,Tỷ suất chết thô,4.40,4.50,4.30,5.60,5.50,5.50,5.60,5.60,3.80,3.80,5.20,3.70,3.80,3.40,3.30,3.60,4.27,5.68,2.72
Bình Dương,Tỷ lệ tăng tự nhiên,12.90,14.50,15.20,17.40,15.20,14.20,15.90,16.60,14.60,14.80,13.10,16.50,11.50,14.20,15.17,14.63,12.13,11.88,12.54
Bình Phước,Tỷ suất sinh thô,21.80,20.40,19.80,21.40,21.30,20.10,19.00,19.90,19.10,15.70,15.20,15.50,15.30,17.60,17.49,16.90,17.50,15.60,14.93
Bình Phước,Tỷ suất chết thô,5.10,5.10,4.80,7.00,6.90,6.40,6.90,6.50,5.20,6.30,4.30,6.10,5.80,4.70,4.48,6.70,6.94,4.36,5.51
Bình Phước,Tỷ lệ tăng tự nhiên,16.70,15.30,15.00,14.40,14.40,13.70,12.10,13.30,13.90,9.40,10.90,9.40,9.50,12.90,13.01,10.21,10.56,11.24,9.42
Bình Thuận,Tỷ suất sinh thô,19.00,18.90,18.90,16.60,16.80,16.90,18.30,16.10,12.70,15.40,13.90,12.70,13.60,14.60,11.86,16.10,15.40,15.92,14.28
Bình Thuận,Tỷ suất chết thô,4.60,4.30,4.40,6.10,6.10,6.30,5.50,6.00,5.80,6.60,6.50,6.20,6.80,5.80,5.59,6.30,6.93,5.74,4.77
Bình Thuận,Tỷ lệ tăng tự nhiên,14.40,14.60,14.60,10.50,10.70,10.60,12.70,10.20,7.00,8.80,7.40,6.50,6.80,8.70,6.27,9.72,8.47,10.18,9.51
Bình Định,Tỷ suất sinh thô,18.70,16.60,15.40,16.70,16.30,16.70,15.90,17.60,16.30,13.90,13.00,12.80,13.90,14.50,15.10,14.50,13.30,12.58,12.14
Bình Định,Tỷ suất chết thô,6.50,5.70,5.20,7.30,7.30,8.00,7.80,7.80,8.90,5.70,6.80,7.90,7.90,7.10,6.79,7.40,5.20,7.30,8.93
Bình Định,Tỷ lệ tăng tự nhiên,12.20,10.80,10.20,9.40,9.10,8.60,8.10,9.80,7.30,8.20,6.20,4.90,6.00,7.50,8.31,7.14,8.10,5.29,3.21
Bạc Liêu,Tỷ suất sinh thô,19.80,18.90,18.30,16.60,15.10,15.70,17.40,16.00,15.10,12.90,12.80,12.40,10.90,12.80,12.36,12.60,11.40,11.40,11.48
Bạc Liêu,Tỷ suất chết thô,4.80,4.40,4.50,5.80,5.70,5.60,5.90,6.20,7.10,6.80,6.40,6.00,4.90,6.20,5.99,5.20,7.37,5.57,4.12
Bạc Liêu,Tỷ lệ tăng tự nhiên,15.10,14.60,13.80,10.80,9.40,10.10,11.50,9.90,8.00,6.10,6.40,6.40,6.00,6.60,6.36,7.46,4.03,5.83,7.37
Bắc Giang,Tỷ suất sinh thô,19.10,17.10,17.90,16.20,14.90,15.80,16.80,13.80,21.00,21.20,20.00,19.80,17.80,17.20,17.70,17.60,17.50,16.00,15.54
Bắc Giang,Tỷ suất chết thô,4.90,5.60,5.20,5.50,5.40,6.50,7.20,7.60,6.90,5.20,7.40,8.40,5.40,6.30,6.03,4.00,5.36,5.28,4.07
Bắc Giang,Tỷ lệ tăng tự nhiên,14.20,11.50,12.70,10.80,9.50,9.40,9.60,6.20,14.00,16.00,12.60,11.40,12.40,10.90,11.66,13.56,12.14,10.72,11.47
Bắc Kạn,Tỷ suất sinh thô,19.00,18.00,17.10,16.00,16.00,16.10,18.50,17.00,17.00,18.70,18.00,16.30,15.00,13.70,14.69,13.80,13.40,12.27,11.56
Bắc Kạn,Tỷ suất chết thô,6.30,6.10,5.60,7.10,7.10,7.80,8.40,7.80,7.20,8.90,8.30,7.30,7.40,7.80,7.44,9.10,7.68,5.00,8.65
Bắc Kạn,Tỷ lệ tăng tự nhiên,12.70,11.90,11.50,8.90,8.90,8.40,10.20,9.30,9.80,9.80,9.70,9.00,7.60,5.90,7.25,4.63,5.72,7.27,2.91
Bắc Ninh,Tỷ suất sinh thô,19.50,18.10,17.60,19.70,18.10,18.20,22.80,19.20,22.30,22.10,20.90,20.40,19.80,24.80,23.03,23.40,21.10,18.77,18.59
