Tỉnh/thành phố,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Sơ bộ 2024
An Giang,96.40,96.70,97.80,98.70,98.71,98.70,98.69,98.68,98.67,98.70,98.70,98.60,98.60,98.62,98.61,98.63,101.66,97.34,98.64
Bà Rịa - Vũng Tàu,100.30,100.40,100.50,99.90,100.00,100.08,100.16,100.25,100.33,100.40,100.50,100.60,100.70,100.74,98.30,98.30,99.49,99.37,99.52
Bình Dương,90.50,91.90,92.80,92.70,93.49,94.32,95.16,96.01,96.87,97.70,98.60,99.50,100.40,101.36,105.00,101.58,102.04,103.25,108.08
Bình Phước,103.20,103.80,103.30,103.20,103.00,102.85,102.70,102.55,102.40,102.20,102.10,102.00,101.80,101.65,101.64,101.61,101.73,97.79,101.33
Bình Thuận,99.20,99.50,100.80,100.30,100.39,100.45,100.52,100.59,100.65,100.70,100.80,100.90,100.90,100.99,101.13,101.23,101.66,99.55,101.66
Bình Định,95.00,95.20,95.40,95.10,95.23,95.38,95.44,95.37,95.32,95.50,95.80,96.10,96.50,97.03,97.05,97.05,98.87,96.09,98.90
Bạc Liêu,96.00,94.60,95.10,99.50,99.53,99.60,99.68,99.75,99.82,99.90,100.00,100.00,100.10,100.19,100.15,100.10,100.54,101.34,100.59
Bắc Giang,97.80,97.80,98.60,98.30,98.56,98.80,99.04,99.29,99.53,99.80,100.00,100.30,100.50,100.77,101.01,100.90,101.60,100.67,101.58
Bắc Kạn,99.90,100.30,101.20,101.60,101.89,102.13,102.37,102.61,102.85,103.10,103.30,103.60,103.80,104.07,103.59,103.59,104.92,100.71,103.60
Bắc Ninh,94.60,94.90,95.80,96.40,96.55,96.66,96.78,96.90,97.02,97.10,97.30,97.40,96.80,97.62,97.07,98.31,96.81,99.14,96.46
Bắc Trung Bộ và duyên hải miền Trung,96.60,96.70,97.30,97.80,97.83,97.93,98.05,98.14,98.27,98.40,98.60,98.70,98.90,99.05,99.00,99.06,99.75,97.42,99.77
Bến Tre,94.20,94.70,95.60,96.30,96.26,96.21,96.16,96.11,96.06,96.00,96.00,95.90,95.90,95.81,96.03,96.03,97.40,95.89,97.43
Cao Bằng,96.10,96.40,96.40,98.50,98.69,98.87,99.06,99.25,99.44,99.60,99.80,100.00,100.20,100.39,100.35,100.35,100.97,96.91,100.70
