Địa phương,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Sơ bộ 2024
An Giang,1223.90,1221.30,1244.90,1227.30,1240.00,1271.10,1258.60,1213.70,1144.53,1132.10,1127.90,1096.20,1078.70,1002.50,985.55,922.20,931.23,928.61,931.37
Bà Rịa - Vũng Tàu,446.60,497.60,519.00,513.00,534.70,560.60,574.80,590.20,554.63,593.10,621.60,606.60,610.10,624.10,597.38,621.50,639.68,629.41,631.43
Bình Dương,601.10,726.30,855.60,982.40,1013.10,1084.50,1162.90,1241.50,1332.60,1390.50,1430.50,1492.10,1562.20,1647.60,1650.85,1656.20,1782.81,1871.31,1943.93
Bình Phước,441.30,458.50,496.90,511.10,518.50,528.20,560.60,561.00,565.71,567.00,580.20,593.40,588.80,603.80,603.84,600.50,602.93,603.05,603.75
Bình Thuận,519.80,607.80,606.50,622.20,647.40,664.50,703.40,690.80,699.60,712.50,713.60,715.60,723.80,726.80,712.01,691.90,695.36,700.65,706.17
Bình Định,753.80,792.50,837.90,848.00,860.00,875.00,884.10,910.60,914.40,889.30,897.00,893.70,907.30,891.20,864.50,834.10,844.52,848.15,851.36
Bạc Liêu,439.40,451.60,483.10,474.30,483.90,510.30,509.90,506.10,507.75,514.10,513.50,514.50,516.70,518.10,507.76,480.90,482.00,483.11,486.15
Bắc Giang,926.40,927.70,957.00,983.00,984.80,997.90,1014.00,1017.30,1036.72,1039.70,1041.50,1063.70,1088.10,1107.90,1102.80,960.20,986.78,1005.99,1023.44
Bắc Kạn,168.40,177.20,179.80,189.80,194.50,199.90,204.50,213.40,216.13,212.40,212.50,208.70,216.50,211.00,205.97,144.60,151.86,153.64,157.93
Bắc Ninh,540.60,589.30,569.90,594.70,619.20,600.20,639.60,665.70,684.47,717.70,720.80,735.60,751.60,777.70,774.57,766.20,787.22,791.51,800.20
Bắc Trung Bộ và duyên hải miền Trung,9748.50,10061.70,10322.50,10577.00,10979.70,11197.00,11379.60,11686.40,11839.93,11743.90,11723.60,11737.10,11793.70,11830.50,11557.57,10462.30,10661.32,10707.36,10784.86
Bến Tre,717.10,732.80,760.50,771.10,794.70,780.40,775.60,782.30,815.44,813.40,800.10,814.50,814.50,828.80,827.08,774.70,785.03,786.08,786.92
