Địa phương,Năm,Bình quân chung,Nhóm 1,Nhóm 2,Nhóm 3,Nhóm 4,Nhóm 5
An Giang,2010,1319,425,713,991,1413,3051
An Giang,2012,1871,615,985,1322,1845,4578
An Giang,2014,2472,826,1254,1720,2409,6125
An Giang,2016,2892,936,1514,2078,2862,7083
An Giang,2018,3559,1008,2029,2716,3643,8423
An Giang,2019,3841,1046,2049,3109,4176,8887
An Giang,2020,3338,1165,2124,2953,3864,6589
An Giang,2021,3406,1141,1998,2830,3769,7315
An Giang,2022,3646,1261,2093,3127,4073,7697
An Giang,2023,3897,1299,2177,3320,4403,8311
An Giang,Sơ bộ 2024,4220,1371,2413,3451,4711,9194
Bà Rịa - Vũng Tàu,2010,1695,486,889,1216,1696,4173
Bà Rịa - Vũng Tàu,2012,2904,896,1431,1942,2766,7456
Bà Rịa - Vũng Tàu,2014,3752,1180,1840,2486,3380,9851
Bà Rịa - Vũng Tàu,2016,4413,1373,2157,2816,3786,11953
Bà Rịa - Vũng Tàu,2018,4881,1426,2384,3103,4298,13276
Bà Rịa - Vũng Tàu,2019,5310,1456,2481,3792,5186,13660
Bà Rịa - Vũng Tàu,2020,4610,1387,2512,3721,5177,10302
Bà Rịa - Vũng Tàu,2021,4419,1427,2409,3519,4744,10018
Bà Rịa - Vũng Tàu,2022,4815,1512,2958,3850,5096,10719
Bà Rịa - Vũng Tàu,2023,5340,1664,3175,4185,5792,11908
Bà Rịa - Vũng Tàu,Sơ bộ 2024,5704,1798,3501,4483,5922,12857
Bình Dương,2010,2698,980,1295,1755,2441,7014
Bình Dương,2012,3568,1138,2095,2853,3808,7905
Bình Dương,2014,3769,1282,2102,2774,3671,8945
Bình Dương,2016,5005,1671,2933,3739,4919,11819
Bình Dương,2018,6823,2177,4001,5012,6795,16171
Bình Dương,2019,7433,2152,4454,6396,8183,15993
Bình Dương,2020,7034,3105,4709,6085,8203,13119
Bình Dương,2021,7123,3581,5033,6548,8088,12380
Bình Dương,2022,8076,2675,4901,6396,8124,18315
Bình Dương,2023,8298,2581,5003,6775,8790,18356
Bình Dương,Sơ bộ 2024,8937,2742,5334,7129,9636,19904
Bình Phước,2010,1526,531,814,1129,1583,3565
Bình Phước,2012,2218,703,1345,1817,2476,4740
Bình Phước,2014,2693,860,1589,2174,3019,5792
Bình Phước,2016,3148,1034,1853,2481,3316,7093
Bình Phước,2018,3603,1126,1974,2721,3679,8535
Bình Phước,2019,3881,1071,2467,3282,4418,8208
Bình Phước,2020,4039,1304,2417,3419,4475,8614
Bình Phước,2021,4002,1554,2622,3392,4368,8104
Bình Phước,2022,4592,1863,2821,3573,4737,9987
Bình Phước,2023,4800,1879,2862,3621,4936,10727
Bình Phước,Sơ bộ 2024,5084,1978,3082,3920,5387,11078
Bình Thuận,2010,1160,437,698,962,1340,2355
Bình Thuận,2012,1747,639,1109,1498,2034,3444
Bình Thuận,2014,2395,937,1463,1938,2595,5039
Bình Thuận,2016,2714,1071,1664,2158,2846,5853
Bình Thuận,2018,3444,1163,2385,3006,3688,7029
Bình Thuận,2019,3718,1300,2360,3152,3940,7883
Bình Thuận,2020,3981,1919,3001,3555,4273,7193
Bình Thuận,2021,4077,2415,3193,3763,4461,6573
Bình Thuận,2022,4307,1927,3286,3998,4783,7572
Bình Thuận,2023,4571,1949,3394,4138,5147,8254
Bình Thuận,Sơ bộ 2024,4885,2029,3774,4664,5378,8608
Bình Định,2010,1150,402,659,888,1223,2573
Bình Định,2012,1719,549,1052,1431,1980,3578
Bình Định,2014,2346,782,1423,1885,2532,5098
Bình Định,2016,2605,865,1489,2086,2863,5743
Bình Định,2018,3024,908,1864,2506,3301,6567
Bình Định,2019,3355,1031,1961,2652,3600,7580
Bình Định,2020,3441,1011,2076,2887,3848,7414
Bình Định,2021,3469,959,2000,2721,4172,7519
Bình Định,2022,3897,1123,2280,3204,4327,8582
Bình Định,2023,4364,1226,2673,3708,4982,9253
Bình Định,Sơ bộ 2024,4752,1417,2828,3923,5150,10456
Bạc Liêu,2010,1273,396,705,985,1382,2893
Bạc Liêu,2012,2035,586,1251,1795,2392,4141
Bạc Liêu,2014,2214,678,1317,1839,2431,4781
Bạc Liêu,2016,2319,708,1320,1888,2600,5088
Bạc Liêu,2018,2699,703,1824,2394,3189,5420
Bạc Liêu,2019,2965,853,1779,2340,3196,6687
Bạc Liêu,2020,3338,1463,2491,2869,3614,6269
Bạc Liêu,2021,3642,1832,2839,3424,3960,6169
Bạc Liêu,2022,4305,1427,2594,3879,4944,8749
Bạc Liêu,2023,4755,1573,2885,4003,5316,10056
Bạc Liêu,Sơ bộ 2024,5170,1681,3231,4411,6122,10432
Bắc Giang,2010,1103,403,628,902,1245,2338
Bắc Giang,2012,1568,502,950,1356,1894,3135
Bắc Giang,2014,2174,708,1302,1830,2504,4515
Bắc Giang,2016,2778,881,1626,2372,3242,5796
Bắc Giang,2018,3450,1042,2044,2841,3777,7581
Bắc Giang,2019,3773,1104,2109,3247,4316,8121
Bắc Giang,2020,3930,1473,2650,3360,4445,7745
Bắc Giang,2021,3966,1636,2657,3386,4260,7913
Bắc Giang,2022,4297,1735,2926,3730,4722,8405
Bắc Giang,2023,4636,1772,3020,3924,5102,9377
Bắc Giang,Sơ bộ 2024,5124,1954,3499,4531,5745,9956
Bắc Kạn,2010,776,255,389,536,800,1898
Bắc Kạn,2012,1142,358,564,826,1217,2750
Bắc Kạn,2014,1216,359,619,881,1428,2786
Bắc Kạn,2016,1401,414,711,940,1651,3305
Bắc Kạn,2018,1945,564,844,1323,2213,4805
Bắc Kạn,2019,2071,547,803,1517,2607,4892
Bắc Kạn,2020,2192,580,1051,1534,2498,5311
Bắc Kạn,2021,2125,470,951,1379,2487,5348
Bắc Kạn,2022,2342,506,963,1686,2665,5927
Bắc Kạn,2023,2519,538,1025,1796,2845,6403
Bắc Kạn,Sơ bộ 2024,2752,597,1140,1912,3044,7090
Bắc Ninh,2010,1646,534,918,1231,1637,3899
Bắc Ninh,2012,2502,805,1424,1901,2526,5831
Bắc Ninh,2014,3512,1255,2045,2710,3375,8160
Bắc Ninh,2016,4308,1505,2530,3282,4349,9916
Bắc Ninh,2018,5445,1802,3263,4214,5653,12489
Bắc Ninh,2019,5714,1768,3448,4911,6192,12284
Bắc Ninh,2020,5439,2424,3659,4674,6117,10366
Bắc Ninh,2021,4917,1925,3222,4296,5573,9595
Bắc Ninh,2022,5470,2111,3675,4607,6127,10861
Bắc Ninh,2023,5279,2038,3313,4237,5958,10884
Bắc Ninh,Sơ bộ 2024,5751,2151,3871,4847,6209,11743
Bắc Trung Bộ và Duyên hải miền Trung,2010,1018,317,553,789,1149,2283
Bắc Trung Bộ và Duyên hải miền Trung,2012,1505,443,805,1194,1729,3355
Bắc Trung Bộ và Duyên hải miền Trung,2014,1982,561,1077,1593,2283,4400
Bắc Trung Bộ và Duyên hải miền Trung,2016,2358,674,1238,1848,2676,5356
Bắc Trung Bộ và Duyên hải miền Trung,2018,3015,825,1653,2469,3420,6710
Bắc Trung Bộ và Duyên hải miền Trung,2019,3331,900,1801,2727,3760,7469
Bắc Trung Bộ và Duyên hải miền Trung,2020,3403,1030,2096,2900,3854,7139
Bắc Trung Bộ và Duyên hải miền Trung,2021,3493,1058,2211,3053,3948,7197
Bắc Trung Bộ và Duyên hải miền Trung,2022,3967,1259,2416,3383,4466,8313
Bắc Trung Bộ và Duyên hải miền Trung,2023,4264,1347,2552,3588,4800,9039
Bắc Trung Bộ và Duyên hải miền Trung,Sơ bộ 2024,4648,1481,2778,3928,5203,9855
Bến Tre,2010,1200,421,640,859,1208,2870
Bến Tre,2012,1580,503,845,1213,1765,3551
Bến Tre,2014,2162,702,1192,1681,2284,4954
Bến Tre,2016,2450,770,1342,1933,2676,5569
Bến Tre,2018,3408,1049,1754,2487,3711,8066
Bến Tre,2019,3685,1138,1795,2787,3860,8895
Bến Tre,2020,3544,1090,1965,2782,3840,8065
Bến Tre,2021,3367,1129,1809,2685,3799,7432
Bến Tre,2022,3840,1296,2396,3177,4135,8235
Bến Tre,2023,4009,1996,2626,3350,4425,7670
Bến Tre,Sơ bộ 2024,4381,1778,2809,3644,4862,8825
Cao Bằng,2010,749,225,337,459,705,2013
Cao Bằng,2012,1054,304,458,659,1083,2761
Cao Bằng,2014,1252,351,534,778,1384,3202
Cao Bằng,2016,1643,474,633,893,1756,4472
Cao Bằng,2018,1856,506,644,978,2117,5082
Cao Bằng,2019,1975,484,677,1215,2475,5049
Cao Bằng,2020,2185,473,772,1220,2494,5982
Cao Bằng,2021,2273,410,792,1114,2565,6514
Cao Bằng,2022,2355,524,840,1367,2663,6401
Cao Bằng,2023,2439,549,883,1389,2768,6657
Cao Bằng,Sơ bộ 2024,2604,636,1024,1565,2789,7042
Cà Mau,2010,1250,363,675,947,1375,2886
Cà Mau,2012,1779,578,887,1192,1646,4565
Cà Mau,2014,2154,648,1118,1576,2277,5130
Cà Mau,2016,2372,718,1194,1660,2380,5923
Cà Mau,2018,2986,755,1741,2395,3238,6809
Cà Mau,2019,3214,812,1639,2604,3611,7442
Cà Mau,2020,3034,913,1535,2427,3363,6958
Cà Mau,2021,3239,922,1700,2627,3680,7292
Cà Mau,2022,3768,1025,2067,3358,4381,8025
Cà Mau,2023,4096,1184,2153,3515,4615,9066
Cà Mau,Sơ bộ 2024,4452,1304,2408,3752,4931,9914
Cần Thơ,2010,1540,516,894,1220,1624,3437
Cần Thơ,2012,2325,767,1298,1793,2481,5264
Cần Thơ,2014,2673,924,1557,2109,2825,5939
Cần Thơ,2016,3365,1176,1903,2500,3382,7917
Cần Thơ,2018,4371,1476,2371,3214,4238,10575
Cần Thơ,2019,4713,1494,2483,3778,5037,10799
Cần Thơ,2020,5031,1471,2692,3598,4754,12710
Cần Thơ,2021,4794,1842,2745,3584,5904,9990
Cần Thơ,2022,5324,1862,3589,4444,5635,11136
Cần Thơ,2023,5579,1922,3770,4604,5977,11675
Cần Thơ,Sơ bộ 2024,6051,2079,3984,4986,6244,12971
Gia Lai,2010,1027,287,478,760,1262,2346
Gia Lai,2012,1563,409,728,1256,2009,3417
Gia Lai,2014,1760,434,800,1493,2351,3705
Gia Lai,2016,1950,535,845,1327,2279,4790
Gia Lai,2018,2586,677,1051,1796,2994,6426
Gia Lai,2019,2755,691,1069,2022,3262,6751
Gia Lai,2020,2314,647,1064,1571,2739,5579
Gia Lai,2021,2329,602,1111,1415,2505,6039
Gia Lai,2022,2567,744,1333,1851,2819,6112
Gia Lai,2023,2805,809,1463,2038,2805,6930
Gia Lai,Sơ bộ 2024,3104,886,1676,2160,3271,7561
Hà Giang,2010,610,259,347,452,583,1413
Hà Giang,2012,850,349,440,574,833,2043
Hà Giang,2014,1121,468,564,713,1100,2751
Hà Giang,2016,1324,549,655,799,1199,3430
Hà Giang,2018,1725,695,791,983,1520,4668
Hà Giang,2019,1832,640,865,1253,1926,4498
Hà Giang,2020,1835,624,885,1219,1784,4692
Hà Giang,2021,1933,611,836,1155,1823,5263
Hà Giang,2022,2062,632,915,1220,1922,5639
